DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
02M545,M545,High School for Dual Language and Asian Studies,High School,Manhattan,402,4.875,0.263,5.138,19.714,0.784,1.0,0.989,1.0,85.2,89.6,0.919,0.928,0.91,0.022,0.035,0.022,0.011,88,88,88,99,97,315,9,14,9,366,4,16.1,3.266,3.997,0.984,0.985,0.985,0.134,0.032,0.162,0.677,0.833,0.015,High Graduation,2015-16,High School for Dual Language and Asian Studies,350 GRAND STREET,10002,40.716778000000005,-73.989337,Chinatown                                                                  
02M546,M546,Academy for Software Engineering,High School,Manhattan,459,6.488,0.434,6.922,22.159,0.677,0.934,0.774,0.443,79.8,68.5,0.77,0.815,0.102,0.207,0.566,0.109,0.016,106,106,106,113,108,311,50,260,95,47,7,1.8,3.008,2.973,0.964,0.893,0.709,0.041,0.259,0.063,0.549,0.794,0.291,Medium Graduation,2015-16,Academy for Software Engineering,40 IRVING PLACE,10003,40.735494,-73.987659,Gramercy                                                                   
02M551,M551,Urban Assembly New York Harbor School,High School,Manhattan,533,8.504,0.12,8.623,21.542,0.542,0.84,0.585,0.676,79.2,62.4,0.606,0.709,0.075,0.173,0.405,0.266,0.081,94,94,94,99,86,289,142,216,92,40,43,4.1,3.037,2.868,0.969,0.891,0.69,0.021,0.229,0.068,0.428,0.795,0.31,Medium Graduation,2015-16,Urban Assembly New York Harbor School,"10 SOUTH STREET, SLIP 7",10004,40.701695,-74.01163100000001,Battery Park City-Lower Manhattan                                          
02M580,M580,Richard R. Green High School of Teaching,High School,Manhattan,429,6.493,0.453,6.946,21.422,0.775,0.835,0.522,0.287,77.7,59.4,0.647,0.641,0.063,0.289,0.599,0.033,0.016,115,115,115,116,117,332,14,257,124,27,7,2.0,2.874,2.611,0.964,0.906,0.773,0.042,0.189,0.119,0.655,0.839,0.227,Medium Graduation,2015-16,Richard R. Green High School of Teaching,26 BROADWAY,10004,40.70568,-74.013302,Battery Park City-Lower Manhattan                                          
02M600,M600,The High School of Fashion Industries,High School,Manhattan,1577,19.362,1.444,20.806,20.22,0.76,0.887,0.709,0.826,82.0,67.8,0.786,0.889,0.055,0.313,0.57,0.052,0.01,354,354,354,383,387,1199,82,899,494,87,16,8.9,3.051,2.774,0.963,0.901,0.686,0.032,0.162,0.107,0.649,0.869,0.314,Medium Graduation,2015-16,The High School of Fashion Industries,225 WEST  24 STREET,10011,40.745156,-73.996074,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M605,M605,Humanities Preparatory Academy,High School,Manhattan,245,3.743,0.148,3.891,23.372,0.736,0.939,0.803,0.326,79.2,66.49,0.825,0.792,0.061,0.216,0.62,0.073,0.03,66,66,66,57,53,180,18,152,53,15,7,6.9,3.045,2.789,0.982,0.836,0.579,0.033,0.204,0.2,0.567,0.722,0.421,Medium Graduation,2015-16,Humanities Preparatory Academy,351 WEST  18 STREET,10011,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square                                 
02M615,M615,Chelsea Career and Technical Education High School,High School,Manhattan,451,7.441,0.534,7.975,25.178,0.79,0.835,0.649,0.562,78.4,66.4,0.663,0.626,0.135,0.215,0.616,0.027,0.007,97,97,97,95,99,356,12,278,97,61,3,1.9,2.909,2.797,0.947,0.852,0.541,0.04,0.195,0.102,0.701,0.75,0.459,Medium Graduation,2015-16,Chelsea Career and Technical Education High School,131 AVENUE OF THE AMERICAS,10013,40.7244,-74.004625,SoHo-TriBeCa-Civic Center-Little Italy                                     
02M630,M630,Art and Design High School,High School,Manhattan,1478,20.611,0.501,21.112,21.274,0.572,0.904,0.79,0.887,81.6,74.7,0.751,0.774,0.085,0.148,0.539,0.173,0.055,324,324,324,366,327,845,256,797,219,126,81,3.5,3.346,3.149,0.967,0.894,0.705,0.008,0.212,0.068,0.444,0.698,0.295,Medium Graduation,2015-16,Art and Design High School,231-249 EAST 56 STREET,10022,40.759240000000005,-73.967203,Turtle Bay-East Midtown                                                    
02M655,M655,Life Sciences Secondary School,High School,Manhattan,425,6.827,0.367,7.194,21.724,0.855,0.794,0.443,0.165,72.7,58.8,0.571,0.52,0.073,0.256,0.624,0.038,0.009,97,97,97,119,127,363,16,265,109,31,4,4.1,2.69,2.43,0.951,0.775,0.374,0.104,0.219,0.16,0.76,0.758,0.626,Low Graduation,2015-16,Life Sciences Secondary School,320 EAST  96 STREET,10128,40.783625,-73.945637,Yorkville                                                                  
03M299,M299,The Maxine Greene HS for Imaginative Inquiry,High School,Manhattan,341,5.345,0.287,5.632,22.675,0.853,0.766,0.405,0.221,57.7,57.5,0.444,0.528,0.029,0.37,0.531,0.041,0.029,111,111,111,90,108,291,14,181,126,10,10,14.1,2.717,2.416,0.971,0.811,0.429,0.129,0.252,0.182,0.757,0.6,0.571,Low Graduation,2015-16,"High School for Arts, Imagination and Inquiry",122 AMSTERDAM AVENUE,10023,40.774351,-73.984753,Lincoln Square                                                             
03M307,M307,"Urban Assembly School for Media Studies, The",High School,Manhattan,407,5.928,0.393,6.321,22.965,0.846,0.824,0.509,0.204,73.8,62.4,0.524,0.552,0.025,0.322,0.607,0.02,0.026,108,108,108,105,96,344,8,247,131,10,11,1.1,2.787,2.518,0.985,0.849,0.487,0.054,0.155,0.133,0.757,0.63,0.513,Medium Graduation,2015-16,"Urban Assembly School for Media Studies, The",122 AMSTERDAM AVENUE,10023,40.774351,-73.984753,Lincoln Square                                                             
03M402,M402,The Urban Assembly School for Green Careers,High School,Manhattan,304,5.623,0.305,5.928,26.109,0.829,0.771,0.289,0.181,67.9,56.5,0.631,0.736,0.023,0.28,0.589,0.086,0.022,83,83,83,84,87,252,26,179,85,7,7,3.1,2.705,2.442,0.971,0.816,0.442,0.151,0.234,0.171,0.734,0.444,0.558,Low Graduation,2015-16,The Urban Assembly School for Green Careers,145 WEST  84 STREET,10024,40.785803,-73.974614,Upper West Side                                                            
03M403,M403,The Global Learning Collaborative,High School,Manhattan,414,6.149,0.432,6.581,22.38,0.847,0.788,0.434,0.283,71.6,61.9,0.571,0.575,0.019,0.256,0.662,0.051,0.012,99,99,99,105,106,351,21,274,106,8,5,6.9,2.762,2.578,0.959,0.857,0.608,0.123,0.203,0.143,0.758,0.765,0.392,Low Graduation,2015-16,The Global Learning Collaborative,145 WEST  84 STREET,10024,40.785803,-73.974614,Upper West Side                                                            
03M415,M415,Wadleigh Secondary School for the Performing & Vis,High School,Manhattan,227,7.46,0.289,7.749,34.547,0.874,0.891,0.378,0.344,70.9,60.1,0.489,0.543,0.004,0.537,0.401,0.018,0.04,46,45,45,45,81,198,4,91,122,1,9,1.0,2.816,2.447,0.983,0.867,0.556,0.022,0.211,0.185,0.78,0.813,0.444,Medium Graduation,2015-16,Wadleigh Secondary School for the Performing & Vis,215 WEST 114 STREET,10026,40.802207,-73.954142,Central Harlem South                                                       
03M417,M417,Frank McCourt High School,High School,Manhattan,413,4.947,0.026,4.973,18.57,0.492,0.968,0.842,0.4,80.1,68.5,0.894,0.966,0.046,0.136,0.46,0.3,0.058,95,95,95,94,87,203,124,190,56,19,24,9.1,3.251,3.226,0.958,0.914,0.769,0.029,0.213,0.039,0.361,0.815,0.231,High Graduation,2015-16,FRANK McCOURT HIGH SCHOOL,145 WEST  84 STREET,10024,40.785803,-73.974614,Upper West Side                                                            
03M479,M479,Beacon High School,High School,Manhattan,1423,13.31,0.057,13.368,16.068,0.304,0.984,0.974,0.691,90.7,49.2,0.831,0.905,0.09,0.143,0.197,0.467,0.103,306,306,306,319,283,433,665,280,203,128,147,15.0,3.912,3.977,0.974,0.968,0.946,0.001,0.114,0.02,0.189,0.912,0.054,High Graduation,2015-16,Beacon High School,227-243 WEST 61ST STREET,10023,40.772007,-73.98747900000001,Lincoln Square                                                             
03M485,M485,Fiorello H. LaGuardia High School of Music & Art a,High School,Manhattan,2760,30.141,0.101,30.242,17.444,0.301,0.99,0.987,0.98,90.5,86.2,0.944,0.952,0.195,0.099,0.179,0.455,0.072,717,717,717,608,643,831,1256,494,273,538,199,5.9,3.931,4.006,0.958,0.949,0.894,0.002,0.037,0.014,0.192,0.911,0.106,High Graduation,2015-16,Fiorello H. LaGuardia High School of Music & Art a,100 AMSTERDAM AVENUE,10023,40.773629,-73.98527299999999,Lincoln Square                                                             
03M492,M492,"High School for Law, Advocacy and Community Justic",High School,Manhattan,429,6.934,0.336,7.27,23.503,0.834,0.761,0.459,0.344,71.7,65.1,0.653,0.596,0.047,0.336,0.573,0.026,0.018,109,109,109,118,109,358,11,246,144,20,8,7.9,2.868,2.565,0.969,0.855,0.58,0.065,0.17,0.17,0.734,0.813,0.42,Low Graduation,2015-16,"High School for Law, Advocacy and Community Justic",122 AMSTERDAM AVENUE,10023,40.774351,-73.984753,Lincoln Square                                                             
03M494,M494,High School of Arts and Technology,High School,Manhattan,492,7.403,0.689,8.092,24.342,0.849,0.678,0.339,0.161,67.6,62.0,0.38,0.538,0.063,0.319,0.553,0.039,0.026,118,118,118,121,132,418,19,272,157,31,13,1.1,2.662,2.448,0.97,0.811,0.481,0.087,0.252,0.167,0.748,0.583,0.519,Low Graduation,2015-16,High School of Arts and Technology,122 AMSTERDAM AVENUE,10023,40.774351,-73.984753,Lincoln Square                                                             
03M541,M541,Manhattan / Hunter Science High School,High School,Manhattan,441,5.194,0.009,5.203,18.552,0.536,0.99,0.97,0.98,92.9,81.2,0.947,0.975,0.272,0.163,0.306,0.209,0.05,100,100,100,113,122,236,92,135,72,120,22,5.9,3.842,3.978,0.956,0.974,0.95,0.0,0.138,0.041,0.408,0.8,0.05,High Graduation,2015-16,Manhattan / Hunter Science High School,122 AMSTERDAM AVENUE,10023,40.774351,-73.984753,Lincoln Square                                                             
03M859,M859,Special Music School,High School,Manhattan,181,4.462,0.029,4.491,20.841,0.356,0.952,0.857,0.833,88.9,77.4,0.87,0.863,0.094,0.105,0.155,0.475,0.171,42,42,42,46,51,64,86,28,19,17,31,9.3,3.621,3.51,0.982,0.931,0.778,0.006,0.144,0.05,0.182,0.875,0.222,High Graduation,2015-16,Special Music School,129 WEST  67 STREET,10023,40.774919,-73.982745,Lincoln Square                                                             
03M860,M860,Frederick Douglass Academy II Secondary School,High School,Manhattan,290,5.537,0.286,5.823,23.455,0.881,0.784,0.324,0.135,61.8,57.7,0.743,0.519,0.021,0.624,0.328,0.017,0.01,74,74,74,74,79,255,5,95,181,6,3,9.0,2.507,2.267,0.971,0.819,0.505,0.107,0.255,0.186,0.779,0.448,0.495,Low Graduation,2015-16,Frederick Douglass Academy II Secondary School,215 WEST 114 STREET,10026,40.802207,-73.954142,Central Harlem South                                                       
04M372,M372,Esperanza Preparatory Academy,High School,Manhattan,354,10.653,0.804,11.457,27.581,0.939,0.763,0.462,0.274,65.0,58.3,0.464,0.563,0.003,0.09,0.893,0.014,0.0,93,93,93,84,80,332,5,316,32,1,0,3.0,2.521,2.315,0.97,0.877,0.587,0.336,0.192,0.215,0.847,0.582,0.413,Low Graduation,2015-16,ESPERANZA PREPARATORY ACADEMY,240 EAST 109 STREET,10029,40.79307,-73.94230300000001,East Harlem South                                                          
04M435,M435,Manhattan Center for Science and Mathematics,High School,Manhattan,1650,17.678,1.116,18.793,18.043,0.757,0.971,0.886,0.863,83.5,78.1,0.892,0.883,0.201,0.193,0.533,0.058,0.015,377,377,377,381,403,1249,96,879,318,332,25,12.1,3.452,3.578,0.974,0.938,0.837,0.068,0.141,0.093,0.628,0.607,0.163,High Graduation,2015-16,Manhattan Center for Science and Mathematics,260 PLEASANT AVENUE,10029,40.793856,-73.934028,East Harlem North                                                          
04M495,M495,Park East High School,High School,Manhattan,389,5.837,0.258,6.095,21.874,0.777,0.963,0.844,0.872,79.7,77.1,0.826,0.911,0.067,0.254,0.617,0.026,0.036,109,109,109,92,112,302,10,240,99,26,14,14.1,3.029,2.974,0.98,0.943,0.872,0.041,0.18,0.093,0.645,0.813,0.128,High Graduation,2015-16,Park East High School,230 EAST 105 STREET,10029,40.790543,-73.944356,East Harlem South                                                          
04M555,M555,Central Park East High School,High School,Manhattan,508,6.823,0.472,7.295,21.264,0.736,1.0,0.885,0.752,88.7,75.2,0.924,0.973,0.177,0.258,0.494,0.045,0.026,113,113,113,131,112,374,23,251,131,90,13,14.1,3.465,3.533,0.976,0.969,0.933,0.018,0.157,0.073,0.61,0.903,0.067,High Graduation,2015-16,Central Park East High School,1573 MADISON AVENUE,10029,40.793763,-73.949381,East Harlem South                                                          
04M610,M610,Young Women's Leadership School,High School,Manhattan,314,5.791,0.286,6.077,19.523,0.778,0.986,0.836,0.651,88.6,73.3,0.988,0.951,0.086,0.239,0.589,0.038,0.048,73,73,73,86,82,244,12,185,75,27,15,0.9,3.277,3.176,0.95,0.938,0.796,0.016,0.178,0.054,0.653,0.806,0.204,High Graduation,2015-16,Young Women's Leadership School,105 EAST 106TH STREET,10029,40.792741,-73.947428,East Harlem South                                                          
04M680,M680,"Heritage School, The",High School,Manhattan,313,4.386,0.243,4.629,23.148,0.884,0.901,0.465,0.183,67.1,63.7,0.577,0.682,0.042,0.265,0.649,0.032,0.012,71,71,71,52,66,277,10,203,83,13,4,7.7,2.603,2.316,0.959,0.886,0.703,0.07,0.22,0.163,0.802,0.818,0.297,Medium Graduation,2015-16,"Heritage School, The",1680 LEXINGTON AVENUE,10029,40.791881,-73.946558,East Harlem South                                                          
05M148,M148,Eagle Academy for Young Men of Harlem,High School,Manhattan,191,6.025,0.368,6.394,22.985,0.778,0.836,0.565,0.485,59.5,59.8,0.65,0.698,0.0,0.733,0.22,0.01,0.037,1,1,1,152,151,149,2,42,140,0,7,6.1,2.6,2.242,0.962,0.825,0.412,0.026,0.262,0.094,0.66,0.568,0.588,Medium Graduation,2015-16,Eagle Academy for Young Men of Harlem,6 EDGECOMBE AVENUE,10030,40.817372,-73.947712,Central Harlem North-Polo Grounds                                          
05M157,M157,The Urban Assembly School for Global Commerce,High School,Manhattan,250,4.081,0.193,4.274,25.096,0.915,0.739,0.37,0.065,71.7,56.8,0.442,0.641,0.012,0.492,0.456,0.028,0.012,46,46,46,77,64,229,7,114,123,3,3,2.0,2.565,2.274,0.967,0.766,0.341,0.1,0.276,0.144,0.84,0.609,0.659,Low Graduation,2015-16,The Urban Assembly School for Global Commerce,2005 MADISON AVENUE,10035,40.807383,-73.939433,Central Harlem North-Polo Grounds                                          
05M304,M304,Mott Hall High School,High School,Manhattan,288,4.241,0.325,4.566,24.035,0.913,0.636,0.403,0.143,67.4,59.3,0.494,0.588,0.042,0.344,0.569,0.028,0.017,77,77,77,83,97,263,8,164,99,12,5,8.9,2.511,2.266,0.951,0.845,0.611,0.201,0.319,0.24,0.826,0.529,0.389,Low Graduation,2015-16,Mott Hall High School,6 EDGECOMBE AVENUE,10030,40.817372,-73.947712,Central Harlem North-Polo Grounds                                          
05M362,M362,Columbia Secondary School,High School,Manhattan,421,8.97,0.166,9.136,19.327,0.51,0.96,0.95,0.905,89.8,74.9,0.956,0.989,0.102,0.181,0.397,0.264,0.056,100,100,100,90,92,215,111,167,76,43,24,7.9,3.77,4.0,0.973,0.924,0.762,0.005,0.133,0.043,0.352,0.796,0.238,High Graduation,2015-16,Columbia Secondary School,425 WEST 123 STREET,10027,40.810431,-73.955809,Morningside Heights                                                        
05M362,M362,Columbia Secondary School,High School,Manhattan,421,8.97,0.166,9.136,19.327,0.51,0.96,0.95,0.905,89.8,74.9,0.956,0.989,0.102,0.181,0.397,0.264,0.056,100,100,100,90,92,215,111,167,76,43,24,7.9,3.77,4.0,0.973,0.924,0.762,0.005,0.133,0.043,0.352,0.796,0.238,High Graduation,2015-16,KIPP STAR College Prep Charter School,433 WEST 123 STREET,10027,40.810511,-73.955997,Morningside Heights                                                        
05M369,M369,Urban Assembly School for the Performing Arts,High School,Manhattan,387,5.186,0.329,5.515,21.225,0.868,0.733,0.307,0.373,68.5,64.5,0.514,0.662,0.008,0.478,0.475,0.008,0.031,75,75,75,74,71,336,3,184,185,3,12,5.0,2.649,2.31,0.962,0.827,0.479,0.075,0.243,0.158,0.783,0.731,0.521,Low Graduation,2015-16,THE URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS (MANHATTAN),509 WEST 129 STREET,10027,40.815256,-73.955325,Manhattanville                                                             
05M499,M499,Frederick Douglass Academy,High School,Manhattan,981,16.287,0.881,17.168,19.401,0.784,0.82,0.611,0.437,75.0,62.8,0.664,0.765,0.015,0.69,0.261,0.021,0.013,239,239,239,238,272,769,21,256,677,15,13,2.0,2.88,2.676,0.964,0.891,0.671,0.047,0.16,0.129,0.664,0.952,0.329,Medium Graduation,2015-16,Frederick Douglass Academy,2581 7TH AVENUE,10039,40.824319,-73.93712,Central Harlem North-Polo Grounds                                          
05M670,M670,Thurgood Marshall Academy for Learning and Social,High School,Manhattan,386,7.438,0.412,7.851,21.571,0.77,0.84,0.543,0.34,74.2,62.7,0.667,0.752,0.018,0.663,0.293,0.008,0.018,81,81,81,81,101,297,3,113,256,7,7,1.2,2.832,2.467,0.952,0.911,0.748,0.039,0.215,0.127,0.619,0.902,0.252,Medium Graduation,2015-16,Thurgood Marshall Academy for Learning and Social,200-214 WEST 135TH STREET,10030,40.815509000000006,-73.944202,Central Harlem North-Polo Grounds                                          
05M692,M692,"High School for Mathematics, Science and Engineeri",High School,Manhattan,491,7.445,0.019,7.464,21.253,0.398,0.991,0.991,1.0,94.2,92.8,0.87,0.858,0.297,0.086,0.167,0.301,0.149,106,106,106,108,106,195,148,82,42,146,73,7.7,3.991,4.267,0.965,0.952,0.878,0.002,0.055,0.035,0.269,0.935,0.122,High Graduation,2015-16,"High School for Mathematics, Science and Engineeri",240 CONVENT AVE,10031,40.82074,-73.949097,Manhattanville                                                             
06M211,M211,Inwood Early College for Health and Information Te,High School,Manhattan,414,6.681,0.477,7.158,23.922,0.823,0.714,0.546,0.588,68.1,66.3,0.721,0.698,0.005,0.118,0.843,0.014,0.02,98,97,97,86,151,341,6,349,49,2,8,5.1,2.794,2.692,0.955,0.822,0.466,0.116,0.256,0.123,0.71,0.697,0.534,Low Graduation,2015-16,Inwood Early College for Health and Information Te,650 ACADEMY STREET,10034,40.866053,-73.924835,Marble Hill-Inwood                                                         
